total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,new_cases,new_deaths,%deaths,%cases,clusters
125085,201.45,76.24,74.48,62092,895,4,0.204535206,20.06055531,1
394765,50.62,50.62,0.0,779900,6,0,0.000128222,0.111937428,0
480422,61.6,61.6,0.0,779900,201,0,0.000128222,0.137709963,0
482716,61.89,61.89,0.0,779900,546,0,0.000128222,0.207718938,0
484751,62.16,62.16,0.0,779900,480,0,0.000128222,0.26926529,0
963360,123.52,62.35,59.01,779900,415,1,0.000256443,0.322477241,1
1045074,134.0,72.72,61.28,779900,81,1,0.000384665,0.332863188,1
1081086,138.62,74.96,63.66,779900,5,0,0.000384665,0.333504295,1
1148146,147.22,75.43,71.78,779900,20,0,0.000384665,0.336068727,1
1153555,147.91,75.55,72.36,779900,19,0,0.000384665,0.338504937,1
1154843,148.08,75.62,72.46,779900,20,0,0.000384665,0.341069368,1
1435774,184.1,76.16,73.18,779900,2231,1,0.000512886,0.627131684,1
1592652,204.21,76.49,73.69,779900,7811,2,0.000769329,1.628670342,1
29813,0.25,0.19,0.06,11832936,32175,1270,0.098445559,2.104380519,0
304185,2.57,1.65,0.92,11832936,23401,608,0.10358376,2.302142089,0
842642,7.12,5.16,1.96,11832936,31321,694,0.109448745,2.566835484,0
1681883,14.21,11.25,2.96,11832936,67547,1573,0.12274215,3.137674369,0
2590835,21.9,15.93,5.96,11832936,68345,2243,0.141697716,3.715257143,0
4505459,38.08,26.25,13.75,11832936,33882,1054,0.150605057,4.001593518,0
6001157,50.72,33.77,23.22,11832936,17373,631,0.15593763,4.148412533,0
6800922,57.47,36.34,28.52,11832936,9566,283,0.15832926,4.229254684,1
7818347,66.07,38.55,32.63,11832936,13139,190,0.159934948,4.340292215,1
8609838,72.76,42.88,35.09,11832936,23975,246,0.162013891,4.542904652,1
9792844,82.76,47.62,38.82,11832936,62194,509,0.166315444,5.068505399,1
11860782,100.24,56.85,44.37,11832936,255952,1271,0.177056649,7.231552676,1
12586663,106.37,58.56,47.36,11832936,37690,487,0.18117228,7.550070414,1
12588867,106.39,58.57,47.36,11832936,8357,456,0.185025931,7.62069532,1
7391,27.95,21.65,6.3,26445,1362,12,0.056721497,5.891472868,0
7391,27.95,21.65,6.3,26445,55,2,0.064284364,6.099451692,0
7391,27.95,21.65,6.3,26445,36,0,0.064284364,6.235583286,0
7391,27.95,21.65,6.3,26445,58,0,0.064284364,6.45490641,0
7391,27.95,21.65,6.3,26445,84,0,0.064284364,6.772546795,0
35845,135.55,72.26,63.29,26445,305,2,0.07184723,7.92588391,1
0,0.0,0.0,0.0,3263459,9482,392,0.155387275,4.013502238,0
0,0.0,0.0,0.0,3263459,38647,1528,0.202208761,5.197736512,0
80988,2.48,2.11,0.37,3263459,28835,1952,0.262022596,6.081308207,0
236472,7.25,5.87,1.37,3263459,5551,702,0.283533515,6.251403802,0
457491,14.02,9.25,4.76,3263459,1010,412,0.296158156,6.282352559,0
623838,19.12,11.9,7.21,3263459,633,33,0.296832287,6.301749156,0
928126,28.44,17.38,11.06,3263459,8198,116,0.300386798,6.552955009,0
1242203,38.06,22.5,15.57,3263459,20922,803,0.324992592,7.194053916,1
1479596,45.34,24.44,20.9,3263459,17983,889,0.352233627,7.745095005,1
1553874,47.61,27.05,22.08,3263459,22307,1091,0.385664413,8.428633545,1
